data,callsign,departure,arrivee,registration,Parking
20170806,CSH9132,ZBTJ,ZSPD,B5320,218
20170806,CXA8203,ZYTL,ZBTJ,B5388,225
20170806,CXA8203,ZBTJ,ZLXN,B5388,225
20170806,CXA8204,ZLXN,ZBTJ,B5388,227
20170806,CXA8204,ZBTJ,ZYTL,B5388,227
20170806,CCA1641,ZBTJ,ZSFZ,B5391,109
20170806,CCA1642,ZSFZ,ZBTJ,B5391,201
20170806,CCA1669,ZBTJ,ZGHA,B5391,108
20170806,CSZ9141,ZGGG,ZBTJ,B5413,201
20170806,CSZ9142,ZBTJ,ZGGG,B5413,109
20170806,CHH7304,ZBTJ,ZGSZ,B5418,209
20170806,FZA6619,ZSNT,ZBTJ,B5430,206
20170806,FZA6620,ZBTJ,ZSNT,B5430,206
20170806,CCA1678,ZGKL,ZBTJ,B5442,107
20170806,CCA1678,ZBTJ,ZYHB,B5442,107
20170805,CSN3168,ZHHH,ZBTJ,B5445,217
20170806,CCA8276,ZSWZ,ZBTJ,B5447,109
20170806,CCA1619,ZBTJ,ZGSD,B5447,107
20170806,CCA1620,ZGSD,ZBTJ,B5447,108
20170806,CCA8275,ZBTJ,ZSWZ,B5447,107
20170806,CHH7202,ZGGG,ZBTJ,B5481,210
20170806,CHH7201,ZBTJ,ZGGG,B5481,210
20170806,CHH7725,ZGHA,ZBTJ,B5483,208
20170806,CHH7725,ZBTJ,ZYHB,B5483,208
20170806,CHH7726,ZYHB,ZBTJ,B5483,211
20170806,CHH7726,ZBTJ,ZGHA,B5483,211
20170806,CCA8290,ZBHH,ZBTJ,B5485,201
20170806,CCA1481,ZBTJ,ZBYC,B5485,109
20170806,CCA171,ZBTJ,RKSI,B5508,109
20170806,CCA187,ZBTJ,RCSS,B5508,118
20170805,CCA1672,ZGSZ,ZBTJ,B5508,108
20170806,CCA172,RKSI,ZBTJ,B5508,203
20170806,CCA188,RCSS,ZBTJ,B5508,108
20170805,CCA1402,ZPPP,ZBTJ,B5509,109
20170806,CCA1245,ZBTJ,ZLLL,B5509,203
20170806,CCA1246,ZLLL,ZBTJ,B5509,201
20170806,CCA1467,ZBTJ,ZPPP,B5509,107
20170806,CCA138R,ZGGG,ZBTJ,B5510,202
20170806,CCA1671,ZBTJ,ZGSZ,B5510,203
20170806,CCA1672,ZGSZ,ZBTJ,B5510,202
20170805,CCA1390,ZJSY,ZBTJ,B5518,109
20170806,CCA1663,ZBTJ,ZSWH,B5518,109
20170806,CCA1664,ZSWH,ZBTJ,B5518,107
20170806,CCA8279,ZBTJ,ZBYN,B5518,107
20170806,CCA8280,ZBYN,ZBTJ,B5518,107
20170806,CCA1319,ZBTJ,ZGSZ,B5519,107
20170806,CCA1320,ZGSZ,ZBTJ,B5519,108
20170806,CSH9147,ZSSS,ZBTJ,B5523,219
20170806,CSH9148,ZBTJ,ZSSS,B5523,219
20170806,CCA1396,ZGGG,ZBTJ,B5525,117
20170806,CCA1395,ZBTJ,ZGGG,B5525,108
20170806,OKA2861,ZBTJ,ZGHA,B5562,223
20170806,OKA2918,ZGKL,ZBTJ,B5562,223
20170806,OKA2862,ZGHA,ZBTJ,B5562,222
20170806,OKA2918,ZBTJ,ZYHB,B5562,223
20170805,OKA2862,ZGHA,ZBTJ,B5571,222
20170806,OKA2917,ZYHB,ZBTJ,B5571,223
20170806,OKA2917,ZBTJ,ZGKL,B5571,223
20170806,OKA2867,ZBTJ,VTSP,B5571,223
20170806,CCA1260,ZUGY,ZBTJ,B5572,203
20170806,CCA1389,ZBTJ,ZJSY,B5572,107
20170805,OKA2932,ZGHA,ZBTJ,B5573,222
20170806,OKA2823,ZBTJ,ZLXY,B5573,224
20170806,OKA2824,ZLXY,ZBTJ,B5573,222
20170805,OKA2820,ZGHA,ZBTJ,B5575,223
20170805,OKA2806,ZSHC,ZBTJ,B5578,224
20170806,OKA2819,ZBTJ,ZGKL,B5578,226
20170806,OKA2820,ZGKL,ZBTJ,B5578,222
20170806,OKA2751,ZBTJ,ZSHC,B5578,222
20170805,CCA1468,ZPPP,ZBTJ,B5585,109
20170806,CCA151,ZBTJ,ZYTL,B5585,107
20170806,CCA152,ZYTL,ZBTJ,B5585,109
20170806,CCA8289,ZBTJ,ZBHH,B5585,108
20170806,CSN6329,ZGSD,ZBTJ,B5586,217
20170806,CSN6330,ZBTJ,ZGSD,B5598,217
20170806,CSZ9121,ZGSZ,ZBTJ,B5615,118
20170806,CXA856,ZSAM,ZBTJ,B5635,228
20170806,CCD8923,ZYTL,ZBTJ,B5639,110
20170806,CCD8923,ZBTJ,ZLIC,B5639,110
20170806,CXA8033,ZSFZ,ZBTJ,B5657,226
20170806,CXA8033,ZBTJ,ZYCC,B5657,226
20170806,CXA8034,ZYCC,ZBTJ,B5657,226
20170806,CXA8034,ZBTJ,ZSFZ,B5657,226
20170806,CCA811,ZBTJ,VTBS,B5680,108
20170806,CCA951,ZBTJ,ZYTL,B5680,107
20170806,CCA812,VTBS,ZBTJ,B5680,201
20170806,CCA952,ZYTL,ZBTJ,B5680,202
20170806,CCA815,ZBTJ,ROAH,B5681,108
20170805,CCA1320,ZGSZ,ZBTJ,B5681,109
20170806,CCA816,ROAH,ZBTJ,B5681,201
20170806,CCA1655,ZBTJ,ZSPD,B5681,107
20170805,CES9737,ZPPP,ZBTJ,B5683,215
20170806,CES9738,ZBTJ,ZPPP,B5683,218
20170806,CSH9264,ZSSS,ZBTJ,B5730,219
20170806,CSH9134,ZBTJ,ZSSS,B5730,218
20170806,CSN3133,ZGGG,ZBTJ,B5745,218
20170806,CSN3134,ZBTJ,ZGGG,B5747,220
20170806,CXA8681,ZBTJ,ZSAM,B5750,227
20170806,CXA8321,ZBTJ,ZSHC,B5788,225
20170805,CCA1524,ZSSS,ZBTJ,B5793,109
20170806,CCA1417,ZBTJ,ZUGY,B5793,109
20170806,CCA1418,ZUGY,ZBTJ,B5793,109
20170806,CCA1259,ZBTJ,ZUGY,B5793,203
20170806,RLH6515,ZHXF,ZBTJ,B5829,112
20170806,RLH6516,ZBTJ,ZHXF,B5829,110
20170806,RLH5313,ZHES,ZBTJ,B5830,110
20170806,RLH5314,ZBTJ,ZHES,B5830,110
20170806,CSH9115,ZSSS,ZBTJ,B5831,219
20170806,CSH9116,ZBTJ,ZSSS,B5831,218
20170805,OKA3036,ZSNT,ZBTJ,B5841,224
20170806,OKA2833,ZBTJ,ZSCN,B5841,224
20170806,OKA2834,ZSCN,ZBTJ,B5841,222
20170805,OKA2758,ZGDY,ZBTJ,B5842,222
20170806,OKA2897,ZBTJ,ZPPP,B5842,224
20170806,OKA2898,ZPPP,ZBTJ,B5842,224
20170806,OKA3040,VVDN,ZBTJ,B5843,222
20170806,OKA2987,ZBTJ,ZYBS,B5843,224
20170806,OKA2988,ZYBS,ZBTJ,B5843,223
20170806,OKA2727,ZBTJ,ZLXN,B5843,223
