data,callsign,departure,arrivee,registration,Parking,Parking0,Parking1,Parking2,Parking3,Parking4,Parking5,Parking6,Parking7,Parking8,Parking9,Parking10,Parking11
20170803,LKE9714,ZBTJ,ZPPP,B2677,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,LKE9713,ZPPP,ZBTJ,B2677,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,CYZ9102,ZSNJ,ZBTJ,B2882,,,,,,,,,,,,,
20170803,CYZ9112,ZBSJ,ZBTJ,B2882,,,,,,,,,,,,,
20170803,CYZ9111,ZBTJ,ZLLL,B2882,,,,,,,,,,,,,
20170803,CYZ9113,ZLLL,ZBTJ,B2882,,,,,,,,,,,,,
20170803,YZR7943,ZBTJ,ZGSZ,B2885,,,,,,,,,,,,,
20170803,YZR7944,ZSNB,ZBTJ,B2885,,,,,,,,,,,,,
20170803,CSS6863,ZYTX,ZBTJ,B2899,,,,,,,,,,,,,
20170803,CSS6863,ZBTJ,ZSHC,B2899,,,,,,,,,,,,,
20170803,GCR7923,ZBTJ,ZSYT,B3092,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7924,ZSYT,ZBTJ,B3092,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,CGZ7137,ZUTR,ZBTJ,B3115,,,,,,,,,,,,,
20170803,CGZ7138,ZBTJ,ZUTR,B3115,,,,,,,,,,,,,
20170803,GCR7930,ZLXY,ZBTJ,B3129,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7828,ZBDS,ZBTJ,B3150,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7917,ZBTJ,ZBLA,B3150,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7918,ZBLA,ZBTJ,B3150,,,,,,,,,,,,,
20170802,GCR7928,ZBHH,ZBTJ,B3151,213.0,213,213,213,213,213,213,213,213,213,213,213,213
20170803,GCR7909,ZBTJ,ZYQQ,B3151,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7910,ZYQQ,ZBTJ,B3151,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,GCR7827,ZBTJ,ZBDS,B3151,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,GCR782Z,ZGHA,ZBTJ,B3153,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,GCR7582,ZBTJ,ZLXY,B3153,210.0,210,210,210,210,210,210,210,210,210,210,210,210
20170802,GCR6527,ZGSD,ZBTJ,B3157,214.0,214,214,214,214,214,214,214,214,214,214,214,214
20170803,GCR7929,ZBTJ,ZLXY,B3157,211.0,211,211,211,211,211,211,211,211,211,211,211,211
20170803,CBG8851,ZHNY,ZBTJ,B3159,,,,,,,,,,,,,
20170803,CBG8852,ZBTJ,ZHNY,B3159,,,,,,,,,,,,,
20170803,GCR758X,ZBXH,ZBTJ,B3167,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR758X,ZBTJ,ZLXY,B3167,209.0,209,209,209,209,209,209,209,209,209,209,209,209
20170803,GCR7581,ZLXY,ZBTJ,B3167,213.0,213,213,213,213,213,213,213,213,213,213,213,213
