data,callsign,departure,arrivee,TTOT,TLDT,ATOT,ALDT,Type,Wingspan,Airline,QFU,Parking,registration,changing times,remote numbers,delay
20180718,CXA8125,ZSAM,ZBTJ,27900,37500,28740,37080,B738,35.8,XiamenAirlines,16L,230,B1301,,,
20180718,CXA8303,ZBTJ,ZGHA,41100,49500,41700,49020,B738,35.8,XiamenAirlines,16R,226,B1301,,,
20180718,CXA8304,ZGHA,ZBTJ,75300,84300,74880,81780,B738,35.8,XiamenAirlines,16L,225,B1301,,,
20180718,CXA8187,ZSHC,ZBTJ,27300,34800,29640,36720,B738,35.8,XiamenAirlines,16L,227,B1302,,,
20180718,CXA8188,ZBTJ,ZSHC,38700,45600,42060,47940,B738,35.8,XiamenAirlines,16R,229,B1302,,,
20180718,OKA2884,ZBTJ,ZLXY,81300,2400,8040,14280,B738,35.8,OkayAirways,16R,224,B1338,,,
20180718,AMU238,VMMC,ZBTJ,29400,40500,30240,39420,A320,34.1,AirMacau,16L,103,B1338,,,
20180718,AMU237,ZBTJ,VMMC,44100,55200,45240,56340,A320,34.1,AirMacau,16R,106,B1338,,,
20180718,OKA2778,ZGSZ,ZBTJ,62400,72900,69240,79080,B738,35.8,OkayAirways,16L,225,B1338,,,
20180718,FZA6601,ZSZS,ZBTJ,33600,41400,34860,40740,B738,35.8,STRAITAIR,16L,211,B1348,,,
20180718,FZA6602,ZBTJ,ZSZS,45000,52500,46260,52620,B738,35.8,STRAITAIR,16R,209,B1348,,,
20180718,FZA6556,ZSFZ,ZBTJ,65400,75000,67560,75660,B738,35.8,STRAITAIR,16L,213,B1348,,,
20180718,FZA6556,ZBTJ,ZYHB,78600,85800,80160,87840,B738,35.8,STRAITAIR,16R,211,B1348,,,
20180718,FZA6751,ZGHA,ZBTJ,38400,46200,49020,55800,B738,35.8,STRAITAIR,16L,211,B1350,,,
20180718,FZA6752,ZBTJ,ZGHA,50400,58500,59520,66180,B738,35.8,STRAITAIR,16R,207,B1350,,,
20180718,CHH7678,ZBTJ,ZBAA,82800,2760,960,7320,B738,35.8,HainanAirlines,16R,211,B1372,,,
20180718,CSS6972,ZBTJ,ZSHC,3600,10800,3000,8460,B733,28.3,SHUNFENG,16R,875,B1378,,,
20180718,CSS6971,ZSHC,ZBTJ,16500,24300,19980,25440,B733,28.3,SHUNFENG,16L,897,B1378,,,
20180718,CSN3168,ZHHH,ZBTJ,57900,64500,62640,68100,B738,35.8,ChinaSouthernAirlines,16L,220,B1411,,,
20180718,CSN3167,ZBTJ,ZHHH,70700,76600,72180,78180,B738,35.8,ChinaSouthernAirlines,16R,217,B1411,,,
20180718,CCA125Y,ZBTJ,ZLXY,30300,36000,31140,37320,B738,35.8,AirChina,16R,108,B1418,,,
20180718,CCA125X,ZLXY,ZBTJ,41000,46000,42060,47040,B738,35.8,AirChina,16L,203,B1418,,,
20180718,CCA1669,ZBTJ,ZGHA,61800,70200,65580,72540,B738,35.8,AirChina,16R,107,B1418,,,
20180718,CCA1670,ZGHA,ZBTJ,73800,82500,76260,83760,B738,35.8,AirChina,16L,201,B1418,,,
20180718,OKA2735,ZBTJ,ZGHA,76200,85500,5040,12000,B738,35.8,OkayAirways,16R,223,B1420,,,
20180718,OKA2787,ZGGG,ZBTJ,24900,36000,26100,35100,B739,34.3,OkayAirways,16L,223,B1420,,,
20180718,OKA2851,ZBTJ,ZUUU,42300,53100,43500,52680,B739,34.3,OkayAirways,16R,222,B1420,,,
20180718,OKA2852,ZUUU,ZBTJ,57300,66300,58020,66900,B739,34.3,OkayAirways,16L,223,B1420,,,
20180718,CUA2218,ZSSS,ZBTJ,70200,78000,71520,77640,B738,35.8,LIANHANG,16L,110,B1427,,,
20180718,OKA2843,ZBTJ,RJSA,39300,54900,42240,57840,B738,35.8,OkayAirways,16R,224,B1450,,,
20180718,CXA8194,ZGKL,ZBTJ,-11400,3000,-1200,6960,B738,35.8,XiamenAirlines,16L,225,B1456,,,
20180718,CXA8353,ZBTJ,ZHHH,25200,33300,25560,32040,B738,35.8,XiamenAirlines,16R,227,B1456,,,
20180718,CXA8354,ZHHH,ZBTJ,56100,63600,77280,83100,B738,35.8,XiamenAirlines,16L,225,B1456,,,
20180718,OKA3086,ZSNB,ZBTJ,79200,600,4860,11040,B738,35.8,OkayAirways,16L,222,B1485,,,
20180718,OKA3085,ZBTJ,ZSNB,24600,32400,25440,31560,B738,35.8,OkayAirways,16R,223,B1485,,,
20180718,CHH705Z,ZBTJ,ZJHK,36000,50400,37020,48780,B738,35.8,HainanAirlines,16R,210,B1497,,,
20180718,OKA2788,ZGGG,ZBTJ,78300,3300,7080,15900,B739,34.3,OkayAirways,16L,222,B1521,,,
20180718,OKA2833,ZBTJ,ZSCN,31200,39600,34080,40740,B738,35.8,OkayAirways,16R,223,B1521,,,
20180718,OKA2834,ZSCN,ZBTJ,65100,74100,65640,71640,B738,35.8,OkayAirways,16L,224,B1521,,,
20180718,CCA1678,ZYHB,ZBTJ,28500,36600,28800,36000,B738,35.8,AirChina,16L,117,B1526,,,
20180718,CCA1481,ZBTJ,ZBYC,42600,48900,43260,47700,B738,35.8,AirChina,16R,107,B1526,,,
20180718,CCA1482,ZBYC,ZBTJ,74700,80100,74280,78720,B738,35.8,AirChina,16L,201,B1526,,,
20180718,CCA1529,ZBTJ,ZSAM,26100,35700,30780,39420,B738,35.8,AirChina,16R,203,B1528,,,
20180718,CCA1530,ZSAM,ZBTJ,40200,50400,43500,52800,B738,35.8,AirChina,16L,202,B1528,,,
20180718,CCA8277,ZBTJ,ZLXN,57300,66600,57540,65160,B738,35.8,AirChina,16R,108,B1528,,,
20180718,CCA8278,ZLXN,ZBTJ,69900,77700,69780,77340,B738,35.8,AirChina,16L,201,B1528,,,
20180718,JYH1055,ZGGG,ZBTJ,23700,35100,25560,34860,B738,35.8,TRANSJADE,16L,112,B1552,,,
20180718,JYH1068,ZBTJ,ZUGY,43800,55200,44940,54780,B738,35.8,TRANSJADE,16R,113,B1552,,,
20180718,JYH1067,ZUGY,ZBTJ,60000,71400,61920,71520,B738,35.8,TRANSJADE,16L,110,B1552,,,
20180718,JYH1056,ZBTJ,ZGGG,75300,5580,82920,92220,B738,35.8,TRANSJADE,16R,110,B1552,,,
20180718,CSN6893,ZWWW,ZBTJ,66600,80700,67140,80460,B738,35.8,ChinaSouthernAirlines,16L,221,B1583,,,
20180718,EVA730,RCTP,ZBTJ,33900,45300,36180,45300,A321,34.1,EVAAir,16L,103,B16226,,,
20180718,EVA729,ZBTJ,RCTP,49800,60300,50400,60900,A321,34.1,EVAAir,16R,102,B16226,,,
20180718,QDA6003,ZYCC,ZBTJ,25500,32100,25560,32100,A320,34.1,SKYLEGEND,16L,110,B1648,,,
20180718,QDA6003,ZBTJ,ZGNN,36000,48600,36720,47340,A320,34.1,SKYLEGEND,16R,111,B1648,,,
20180718,QDA6004,ZGNN,ZBTJ,54600,67500,55440,66660,A320,34.1,SKYLEGEND,16L,110,B1648,,,
